Protein Virus,Protein Người,Protein Chung
,HMGB1,TMEM43
,UPK3BL,VKORC1
,ARPC1B,MMGT1
,PREB,TIMM21
,TRIM13,ZNF581
,CLGN,HERPUD1
,YKT6,GET4
,FAM189B,CDH1
,ADCY3,HMGB1
,ABHD2,UPK3BL
,DNAJB4,ARPC1B
,SEC63,PREB
,OSBPL8,TRIM13
,PDZD8,CLGN
,ABCC2,YKT6
,ADH5,FAM189B
,ANKRD46,ADCY3
,TMEM201,ABHD2
,ABCA1,DNAJB4
,EPHX1,SEC63
,FAT1,OSBPL8
,FNDC3A,PDZD8
,ATF6,ABCC2
,USP33,ADH5
,PDXDC1,ANKRD46
,ANKLE2,TMEM201
,KIAA0922,ABCA1
,DNAJC16,EPHX1
,SUN1,FAT1
,TMEM131,FNDC3A
,TMEM9,ATF6
,YIPF3,USP33
,C1orf43,PDXDC1
,ABHD12,ANKLE2
,NPTN,KIAA0922
,TMED8,DNAJC16
,FAM177A1,SUN1
,ORMDL2,TMEM131
,HADHA,TMEM9
,ITGB5,YIPF3
,ARF1,C1orf43
,KCNN4,ABHD12
,SNX19,NPTN
,LRP6,TMED8
,LRP5,FAM177A1
,MCM5,ORMDL2
,TYW1B,HADHA
,CISD2,ITGB5
,ATL1,ARF1
,SAR1B,KCNN4
,BET1L,SNX19
,BFAR,LRP6
,UBE2J1,LRP5
,PKD2,MCM5
,STX18,TYW1B
,TRPM7,CISD2
,TOR4A,ATL1
,RETSAT,SAR1B
,PARP16,BET1L
,AUP1,BFAR
,LRRC59,UBE2J1
,SMPD4,PKD2
,TEX2,STX18
,ALG1,TRPM7
,PCDHB3,TOR4A
,EMC7,RETSAT
,PSMB5,PARP16
,GRAMD1B,AUP1
,ESYT2,LRRC59
,STIM2,SMPD4
,GRAMD1A,TEX2
,PTPN2,ALG1
,RAB27B,PCDHB3
,DNAJC1,EMC7
,ACBD3,PSMB5
,SLC12A2,GRAMD1B
,SLC16A1,ESYT2
,BNIP1,STIM2
,SREBF2,GRAMD1A
,VRK2,PTPN2
,KIAA0319L,RAB27B
,REEP4,DNAJC1
,KIAA1715,ACBD3
,CAMLG,SLC12A2
,UBL4A,SLC16A1
,FZD6,BNIP1
,SLC41A2,SREBF2
,ANTXR1,VRK2
,ATRN,KIAA0319L
,USP32,REEP4
,AGPAT9,KIAA1715
,TMEM209,CAMLG
,ITPRIP,UBL4A
,ABCC3,FZD6
,SGPL1,SLC41A2
,STBD1,ANTXR1
,PKMYT1,ATRN
,ACBD5,USP32
,VAPB,AGPAT9
,MICAL2,TMEM209
,LPGAT1,ITPRIP
,OCLN,ABCC3
,ATP9A,SGPL1
,CTDSP2,STBD1
,EMG1,PKMYT1
,SLC25A17,ACBD5
,USP19,VAPB
,STARD3,MICAL2
,RCC1,LPGAT1
,TMEM115,OCLN
,L3HYPDH,ATP9A
,OSBPL9,CTDSP2
,OSBPL11,EMG1
,COPA,SLC25A17
,CPT1A,USP19
,NFXL1,STARD3
,CXADR,RCC1
,RDH10,TMEM115
,DAG1,L3HYPDH
,CNST,OSBPL9
,JAG1,OSBPL11
,SERPINB1,COPA
,SLC29A1,CPT1A
,CLN8,NFXL1
,WDR7,CXADR
,SLC44A1,RDH10
,ICMT,DAG1
,KDSR,CNST
,GABRA5,JAG1
,GAPDH,SERPINB1
,APPL1,SLC29A1
,NBEA,CLN8
,ATP2C1,WDR7
,DIEXF,SLC44A1
,PIGW,ICMT
,SLC26A11,KDSR
,CPSF1,GABRA5
,HMGCS1,GAPDH
,APBB2,APPL1
,HSPA2,NBEA
,ARF5,ATP2C1
,LNPEP,DIEXF
,TMEM41B,PIGW
,ASPH,SLC26A11
,MSRA,CPSF1
,CYTB,HMGCS1
,NUCB1,APBB2
,OSBP,HSPA2
,DERL2,ARF5
,GOLT1B,LNPEP
,GULP1,TMEM41B
,PLA2G4A,ASPH
,TPCN1,MSRA
,ATP6V0A1,CYTB
,ATP7A,NUCB1
,TMEM106B,OSBP
,SLC35F2,DERL2
,PIGG,GOLT1B
,TMEM161A,GULP1
,LPCAT2,PLA2G4A
,PAK1IP1,TPCN1
,TMEM38B,ATP6V0A1
,CPPED1,ATP7A
,WDR12,TMEM106B
,PRKCA,SLC35F2
,PRKCI,PIGG
,TMEM165,TMEM161A
,PRKCQ,LPCAT2
,GPRC5C,PAK1IP1
,BCAP29,TMEM38B
,PSMB3,CPPED1
,NCLN,WDR12
,PSMB6,PRKCA
,DOLPP1,PRKCI
,FAM135A,TMEM165
,USP36,PRKCQ
,ABCD4,GPRC5C
,ACTA1,BCAP29
,C12orf10,PSMB3
,RP2,NCLN
,RPL32,PSMB6
,RPS4X,DOLPP1
