BioGRID ID Interactor A,BioGRID ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System
4383860,118841,nsp12,ZC3H7A,Affinity Capture-MS
4383860,116795,nsp12,LARP4B,Affinity Capture-MS
4383860,120573,nsp12,RBM41,Affinity Capture-MS
4383860,112798,nsp12,TCF12,Affinity Capture-MS
4383860,119820,nsp12,PPIL3,Affinity Capture-MS
4383860,119982,nsp12,PLEKHA5,Affinity Capture-MS
4383861,115103,nsp13,TBKBP1,Affinity Capture-MS
4383861,116290,nsp13,CIT,Affinity Capture-MS
4383861,109515,nsp13,HSBP1,Affinity Capture-MS
4383861,111146,nsp13,PCNT,Affinity Capture-MS
4383861,116291,nsp13,FGFR1OP,Affinity Capture-MS
4383861,111562,nsp13,PRKAR2A,Affinity Capture-MS
4383861,111553,nsp13,PRKACA,Affinity Capture-MS
4383861,111563,nsp13,PRKAR2B,Affinity Capture-MS
4383861,111894,nsp13,RDX,Affinity Capture-MS
4383861,107492,nsp13,CENPF,Affinity Capture-MS
4383861,112943,nsp13,TLE1,Affinity Capture-MS
4383861,112945,nsp13,TLE3,Affinity Capture-MS
4383861,106675,nsp13,AES,Affinity Capture-MS
4383861,109064,nsp13,GOLGA3,Affinity Capture-MS
4383861,109063,nsp13,GOLGA2,Affinity Capture-MS
4383861,109066,nsp13,GOLGB1,Affinity Capture-MS
4383861,121210,nsp13,GRIPAP1,Affinity Capture-MS
4383861,115191,nsp13,CEP350,Affinity Capture-MS
4383861,115017,nsp13,PDE4DIP,Affinity Capture-MS
4383861,115018,nsp13,CEP135,Affinity Capture-MS
4383861,116789,nsp13,CEP68,Affinity Capture-MS
4383861,116248,nsp13,CNTRL,Affinity Capture-MS
4383861,116714,nsp13,ERC1,Affinity Capture-MS
4383861,115006,nsp13,GCC2,Affinity Capture-MS
4383861,122857,nsp13,CLIP4,Affinity Capture-MS
4383861,119372,nsp13,NIN,Affinity Capture-MS
4383861,128362,nsp13,CEP112,Affinity Capture-MS
4383861,126903,nsp13,MIPOL1,Affinity Capture-MS
4383861,114465,nsp13,USP13,Affinity Capture-MS
4383861,122718,nsp13,GCC1,Affinity Capture-MS
4383861,127465,nsp13,JAKMIP1,Affinity Capture-MS
4383861,120873,nsp13,CDK5RAP2,Affinity Capture-MS
4383861,115445,nsp13,AKAP9,Affinity Capture-MS
4383861,122232,nsp13,GORASP1,Affinity Capture-MS
4383861,122669,nsp13,FYCO1,Affinity Capture-MS
4383861,122528,nsp13,C1orf50,Affinity Capture-MS
4383861,116360,nsp13,CEP250,Affinity Capture-MS
4383861,118878,nsp13,TBK1,Affinity Capture-MS
4383861,119496,nsp13,HOOK1,Affinity Capture-MS
4383861,116630,nsp13,NINL,Affinity Capture-MS
4383862,108981,nsp14,GLA,Affinity Capture-MS
4383862,109828,nsp14,IMPDH2,Affinity Capture-MS
4383862,116980,nsp14,SIRT5,Affinity Capture-MS
4383863,115499,nsp15,NUTF2,Affinity Capture-MS
4383863,106877,nsp15,ARF6,Affinity Capture-MS
4383863,115488,nsp15,RNF41,Affinity Capture-MS
4383851,116194,nsp2,SLC27A2,Affinity Capture-MS
4383851,114856,nsp2,EIF4E2,Affinity Capture-MS
4383851,111443,nsp2,POR,Affinity Capture-MS
4383851,111845,nsp2,RAP1GDS1,Affinity Capture-MS
4383851,116913,nsp2,KIAA1033,Affinity Capture-MS
4383851,116899,nsp2,FKBP15,Affinity Capture-MS
4383851,117520,nsp2,GIGYF2,Affinity Capture-MS
4383853,109642,nsp4,IDE,Affinity Capture-MS
4383853,117723,nsp4,TIMM10,Affinity Capture-MS
4383853,136328,nsp4,ALG11,Affinity Capture-MS
4383853,116831,nsp4,NUP210,Affinity Capture-MS
4383853,124736,nsp4,C19orf52,Affinity Capture-MS
4383853,120854,nsp4,DNAJC11,Affinity Capture-MS
4383853,117720,nsp4,TIMM10B,Affinity Capture-MS
4383853,117724,nsp4,TIMM9,Affinity Capture-MS
4383854,109316,nsp5,HDAC2,Affinity Capture-MS
4383854,109134,nsp5,GPX1,Affinity Capture-MS
4383854,120760,nsp5,TRMT1,Affinity Capture-MS
4383855,115876,nsp6,ATP5L,Affinity Capture-MS
4383855,107019,nsp6,ATP6AP1,Affinity Capture-MS
4383855,115569,nsp6,SIGMAR1,Affinity Capture-MS
4383855,122719,nsp6,ATP13A3,Affinity Capture-MS
4383856,114110,nsp7,AGPS,Affinity Capture-MS
4383856,123309,nsp7,CYB5B,Affinity Capture-MS
4383856,108477,nsp7,ACSL3,Affinity Capture-MS
4383856,108071,nsp7,CYB5R3,Affinity Capture-MS
4383856,111834,nsp7,RALA,Affinity Capture-MS
4383856,107707,nsp7,COMT,Affinity Capture-MS
4383856,111816,nsp7,RAB5C,Affinity Capture-MS
4383856,113624,nsp7,RAB7A,Affinity Capture-MS
4383856,110382,nsp7,RAB8A,Affinity Capture-MS
4383856,111800,nsp7,RAB2A,Affinity Capture-MS
4383856,116096,nsp7,RAB10,Affinity Capture-MS
4383856,119605,nsp7,RAB14,Affinity Capture-MS
4383856,106880,nsp7,RHOA,Affinity Capture-MS
4383856,111799,nsp7,RAB1A,Affinity Capture-MS
4383856,109044,nsp7,GNB1,Affinity Capture-MS
4383856,109049,nsp7,GNG5,Affinity Capture-MS
4383856,116159,nsp7,LMAN2,Affinity Capture-MS
4383856,113599,nsp7,MOGS,Affinity Capture-MS
4383856,117543,nsp7,TOR1AIP1,Affinity Capture-MS
4383856,122271,nsp7,MARC1,Affinity Capture-MS
4383856,127987,nsp7,QSOX2,Affinity Capture-MS
4383856,115011,nsp7,HS2ST1,Affinity Capture-MS
4383856,124893,nsp7,NDUFAF2,Affinity Capture-MS
4383856,119286,nsp7,SCCPDH,Affinity Capture-MS
4383856,107387,nsp7,SCARB1,Affinity Capture-MS
